cv_id,user_id,skill
773e7315-84dc-4787-bcf5-6fd89abea1f4,anon_b7061fba8a,Atención al cliente
773e7315-84dc-4787-bcf5-6fd89abea1f4,anon_b7061fba8a,Excel
773e7315-84dc-4787-bcf5-6fd89abea1f4,anon_b7061fba8a,Gestión documental
f9880e63-2698-4fee-8c01-777627b3a4fc,anon_1568f735a9,Excel
f9880e63-2698-4fee-8c01-777627b3a4fc,anon_1568f735a9,Gestión documental
f9880e63-2698-4fee-8c01-777627b3a4fc,anon_1568f735a9,Facturación
f9880e63-2698-4fee-8c01-777627b3a4fc,anon_1568f735a9,Atención al cliente
7a7e66fd-0320-4711-9c39-eb7147427680,anon_b119044519,APIs REST
7a7e66fd-0320-4711-9c39-eb7147427680,anon_b119044519,React
7a7e66fd-0320-4711-9c39-eb7147427680,anon_b119044519,Docker
7a7e66fd-0320-4711-9c39-eb7147427680,anon_b119044519,Python
7a7e66fd-0320-4711-9c39-eb7147427680,anon_b119044519,SQL
7a7e66fd-0320-4711-9c39-eb7147427680,anon_b119044519,Java
7a7e66fd-0320-4711-9c39-eb7147427680,anon_b119044519,JavaScript
7a7e66fd-0320-4711-9c39-eb7147427680,anon_b119044519,Git
7a7e66fd-0320-4711-9c39-eb7147427680,anon_b119044519,Node.js
1d039c0f-b771-4045-9d4b-230def35eb79,anon_a1e8211725,Muestreo
1d039c0f-b771-4045-9d4b-230def35eb79,anon_a1e8211725,Laboratorio
1d039c0f-b771-4045-9d4b-230def35eb79,anon_a1e8211725,Excel
1d039c0f-b771-4045-9d4b-230def35eb79,anon_a1e8211725,Redacción científica
3849f759-d486-4b39-b077-63d8ed9a563c,anon_1568f735a9,Python
3849f759-d486-4b39-b077-63d8ed9a563c,anon_1568f735a9,Git
3849f759-d486-4b39-b077-63d8ed9a563c,anon_1568f735a9,Docker
3849f759-d486-4b39-b077-63d8ed9a563c,anon_1568f735a9,SQL
3849f759-d486-4b39-b077-63d8ed9a563c,anon_1568f735a9,Java
3849f759-d486-4b39-b077-63d8ed9a563c,anon_1568f735a9,APIs REST
3849f759-d486-4b39-b077-63d8ed9a563c,anon_1568f735a9,JavaScript
3849f759-d486-4b39-b077-63d8ed9a563c,anon_1568f735a9,React
40029a98-2a42-4088-91b5-6fc56d4417a1,anon_198a3660c0,SAP
40029a98-2a42-4088-91b5-6fc56d4417a1,anon_198a3660c0,Gestión documental
40029a98-2a42-4088-91b5-6fc56d4417a1,anon_198a3660c0,Facturación
40029a98-2a42-4088-91b5-6fc56d4417a1,anon_198a3660c0,Excel
40029a98-2a42-4088-91b5-6fc56d4417a1,anon_198a3660c0,Atención al cliente
00109771-3d12-4c1b-8e5b-8c3db24a7f33,anon_6e3ed316ee,Facturación
00109771-3d12-4c1b-8e5b-8c3db24a7f33,anon_6e3ed316ee,Gestión documental
00109771-3d12-4c1b-8e5b-8c3db24a7f33,anon_6e3ed316ee,Atención al cliente
00109771-3d12-4c1b-8e5b-8c3db24a7f33,anon_6e3ed316ee,Excel
2642a0f8-180a-47a3-8ad1-925aa0a2c4a5,anon_1568f735a9,Canva
2642a0f8-180a-47a3-8ad1-925aa0a2c4a5,anon_1568f735a9,Redes sociales
2642a0f8-180a-47a3-8ad1-925aa0a2c4a5,anon_1568f735a9,Email marketing
2642a0f8-180a-47a3-8ad1-925aa0a2c4a5,anon_1568f735a9,Copywriting
2642a0f8-180a-47a3-8ad1-925aa0a2c4a5,anon_1568f735a9,Google Ads
fcc1aee3-4b9e-4699-bb1a-f19e30c2b6fa,anon_6e3ed316ee,APIs REST
fcc1aee3-4b9e-4699-bb1a-f19e30c2b6fa,anon_6e3ed316ee,Node.js
fcc1aee3-4b9e-4699-bb1a-f19e30c2b6fa,anon_6e3ed316ee,Docker
fcc1aee3-4b9e-4699-bb1a-f19e30c2b6fa,anon_6e3ed316ee,JavaScript
c3fef55d-b627-40c4-a0c2-bf134bc6a277,anon_a1e8211725,Canva
c3fef55d-b627-40c4-a0c2-bf134bc6a277,anon_a1e8211725,Email marketing
c3fef55d-b627-40c4-a0c2-bf134bc6a277,anon_a1e8211725,Redes sociales
c3fef55d-b627-40c4-a0c2-bf134bc6a277,anon_a1e8211725,Copywriting
5a6093b0-6a9c-4432-9e3c-96b129e15e3d,anon_b119044519,Excel avanzado
5a6093b0-6a9c-4432-9e3c-96b129e15e3d,anon_b119044519,SQL
5a6093b0-6a9c-4432-9e3c-96b129e15e3d,anon_b119044519,Python
5a6093b0-6a9c-4432-9e3c-96b129e15e3d,anon_b119044519,Estadística
5a6093b0-6a9c-4432-9e3c-96b129e15e3d,anon_b119044519,ETL
5a6093b0-6a9c-4432-9e3c-96b129e15e3d,anon_b119044519,Pandas
